criteria,criteria_value,game_count,success_count,success_rate,smoothed_success_rate,rank_eligible,sample_status
genre,RPG,4253,215,0.0505525511403715,0.05050409779907069,True,충분
genre,Simulation,5262,241,0.04580007601672368,0.045769910644430645,True,충분
genre,Early Access,2607,100,0.038358266206367474,0.03832593386222329,True,충분
genre,Adventure,8836,295,0.03338614757808964,0.03338220313333013,True,충분
genre,Strategy,4922,157,0.031897602600568876,0.031893546009212966,True,충분
genre,Action,8741,248,0.028372039812378447,0.028373782301158536,True,충분
genre,Indie,16277,415,0.025496098789703263,0.02549880081767289,True,충분
genre,Casual,10257,225,0.02193623866627669,0.02194399229740317,True,충분
genre,Massively Multiplayer,431,9,0.02088167053364269,0.021086097318454317,True,충분
genre,Racing,799,16,0.02002503128911139,0.02014705675826743,True,충분
genre,Sports,872,17,0.0194954128440367,0.019613343443807656,True,충분
genre,Free To Play,3318,54,0.0162748643761302,0.016315795948749504,True,충분
genre,Accounting,2,0,0.0,0.024914076453196054,False,표본 부족
genre,Audio Production,2,0,0.0,0.024914076453196054,False,표본 부족
genre,Video Production,3,0,0.0,0.022997609033719432,False,표본 부족
genre,Design & Illustration,5,0,0.0,0.01993126116255684,False,표본 부족
genre,Software Training,5,0,0.0,0.01993126116255684,False,표본 부족
genre,Animation & Modeling,6,0,0.0,0.01868555733989704,False,표본 부족
genre,Education,6,0,0.0,0.01868555733989704,False,표본 부족
genre,Game Development,8,0,0.0,0.0166093843021307,False,표본 부족
genre,Utilities,17,0,0.0,0.011072922868087134,False,표본 부족
